rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__C,param_model__l1_ratio,param_model__class_weight
146,0.14280465686006766,0.004741566389181614,0.14482458583428218,1.0,1.0,balanced
147,0.14279276451001732,0.004736457283891104,0.14481928521980403,0.1,0.0,balanced
148,0.14278559100998595,0.00471358086632383,0.1448284540865196,0.1,0.0,"{0: 1, 1: 10}"
149,0.14278322566441698,0.004727572816934785,0.14482464612248722,1.0,0.75,balanced
150,0.14278305493764507,0.004713407748257985,0.14482415869310827,1.0,0.5,balanced
151,0.1427776012335936,0.004707041998858979,0.14482088023653247,1.0,0.0,balanced
152,0.1427756130889229,0.0047056695213740585,0.1448215805641821,10.0,0.75,balanced
153,0.1427753163130073,0.004707213467490717,0.14482098187792597,10.0,1.0,balanced
154,0.14277523124773844,0.004707438683747942,0.14482135484813102,1.0,0.25,balanced
155,0.1427744915842613,0.004705687467742823,0.14482199073895555,10.0,0.5,balanced
156,0.14277429083775622,0.004705594285401686,0.14482257823635475,10.0,0.25,balanced
157,0.14277213209842174,0.004703469033827386,0.14482587604204708,1.0,0.25,"{0: 1, 1: 10}"
158,0.14277105285560396,0.004709248395257292,0.14482775134288245,1.0,0.75,"{0: 1, 1: 10}"
159,0.14276899500286228,0.004706828353220013,0.1448304259462458,1.0,1.0,"{0: 1, 1: 10}"
160,0.14276873108107208,0.004703593038537708,0.1448276819180705,1.0,0.5,"{0: 1, 1: 10}"
161,0.1427657752914581,0.004696733112608283,0.14482337704631584,10.0,0.0,balanced
162,0.14276546822317232,0.004697219579299568,0.14482549838928716,1.0,0.0,"{0: 1, 1: 10}"
163,0.14276317625240104,0.004693478366843065,0.14482542414574545,10.0,1.0,"{0: 1, 1: 10}"
164,0.14276288245001534,0.004695981598587469,0.14482588657565854,10.0,0.75,"{0: 1, 1: 10}"
165,0.1427625236779046,0.004697374168226182,0.1448259748189659,10.0,0.25,"{0: 1, 1: 10}"
166,0.14276190744247083,0.0046977753924744665,0.14482622936497952,10.0,0.0,"{0: 1, 1: 10}"
167,0.14276156239802698,0.004696872228308952,0.14482588532913607,10.0,0.5,"{0: 1, 1: 10}"
168,0.1427181602485878,0.006146971130592862,0.14147998518409283,0.001,0.25,
169,0.1425818977512951,0.005888405968734798,0.14130240395598015,0.001,1.0,"{0: 1, 1: 4}"
170,0.14249413724564122,0.005928523753984623,0.1411761232236492,0.001,1.0,balanced
171,0.13429959196360858,0.005778100880447528,0.1332569188908656,0.001,0.75,"{0: 1, 1: 2}"
172,0.1292706656665737,0.011168742681809268,0.12779314028256789,0.001,0.5,
173,0.11198380254166784,0.0046270342585964745,0.11110363302575425,0.001,0.75,
173,0.11198380254166784,0.0046270342585964745,0.11110363302575425,0.001,1.0,"{0: 1, 1: 2}"
