rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
104,0.11785572773687965,0.009034009811740318,0.1449644659278731,0.002042554554798857,entropy,,500,10,log2,127,"{0: 1, 1: 4}",0.0001,0.02710873819099345
105,0.11764657893812484,0.002888649705256429,0.12594001242242694,0.003978654349061009,entropy,6,200,200,log2,31,"{0: 1, 1: 2}",1e-05,0.008293433484302101
106,0.11759756496930887,0.0014200804507807875,0.12244187412976255,0.0022192906266570245,gini,12,100,400,log2,127,"{0: 1, 1: 4}",0.0001,0.004844309160453683
107,0.11745089974472392,0.0022976312310585465,0.12213549490385225,0.003700904102180221,gini,4,50,25,sqrt,15,,0.0001,0.004684595159128335
108,0.11742566525977423,0.0037275320229976975,0.1193834136261358,0.0032789970092357737,log_loss,3,200,100,0.5,127,"{0: 1, 1: 4}",0.001,0.0019577483663615752
109,0.11739804764685827,0.005013115100393041,0.14419302158697705,0.0030584477322571947,log_loss,10,50,25,log2,127,balanced,5e-05,0.026794973940118788
110,0.1173273954874047,0.003129685234450297,0.11958349487959138,0.0021307667826882754,log_loss,5,50,400,0.75,31,"{0: 1, 1: 2}",0.001,0.0022560993921866834
111,0.11696789787112456,0.0033366123626598137,0.1251222092117231,0.0021662413765566636,gini,12,500,200,log2,31,"{0: 1, 1: 2}",5e-05,0.008154311340598533
112,0.11643511550889707,0.0020480188021844365,0.11971393017698953,0.0013946081223241685,gini,3,500,25,sqrt,63,balanced,0.0001,0.0032788146680924612
113,0.11581839773801605,0.0036136776045336723,0.12499279862008339,0.0014092628480379128,gini,,500,100,log2,31,"{0: 1, 1: 4}",5e-05,0.009174400882067335
114,0.11557886352849996,0.0016315880762482599,0.11930824847869954,0.0035038411229009444,log_loss,4,50,400,sqrt,127,"{0: 1, 1: 2}",0.001,0.003729384950199588
115,0.1155336068261807,0.001094394810535735,0.11985907191884741,0.0011365936816051434,gini,3,50,100,sqrt,127,balanced,5e-05,0.004325465092666708
116,0.11495381299620507,0.001787143067699913,0.11904765309905234,0.001413099402197705,gini,5,200,400,log2,127,"{0: 1, 1: 2}",1e-05,0.004093840102847274
117,0.11476737326505888,0.005264119174521773,0.1181896200343533,0.0022070828081307654,gini,12,20,50,log2,15,"{0: 1, 1: 6}",5e-05,0.0034222467692944097
118,0.11454217779176075,0.0017582678571234375,0.116344855416426,0.0038403175718137138,gini,12,50,10,0.5,15,"{0: 1, 1: 6}",0.001,0.0018026776246652526
119,0.11431720827969234,0.004825169761486577,0.11534903486347066,0.00301891856253116,entropy,10,200,200,,,,0.001,0.001031826583778317
119,0.11431720827969234,0.004825169761486577,0.11534903486347066,0.00301891856253116,log_loss,,50,10,,15,,0.001,0.001031826583778317
121,0.11401755753292478,0.0028164631152184675,0.11756620186963515,0.001597298343809964,log_loss,4,200,200,sqrt,,"{0: 1, 1: 2}",0.0005,0.0035486443367103715
122,0.11391605966874012,0.0037981571268126766,0.11783403881001633,0.0019320882171330862,log_loss,4,100,50,log2,127,"{0: 1, 1: 2}",1e-05,0.003917979141276215
123,0.11386162646081074,0.0018616279314684165,0.12133620163538039,0.0012739871517440605,entropy,5,500,100,log2,127,balanced,0.0,0.007474575174569648
124,0.1137870546350361,0.004462001180629406,0.11679806873720766,0.0013700688821311785,log_loss,5,100,200,log2,,"{0: 1, 1: 6}",0.001,0.0030110141021715553
125,0.11357564739732351,0.004896790765406296,0.11730658894776425,0.002206916194590985,gini,6,500,10,log2,15,"{0: 1, 1: 4}",5e-05,0.003730941550440736
126,0.11354885964279153,0.003252848621121723,0.11790676917315113,0.0020477199000504616,entropy,4,200,25,log2,127,"{0: 1, 1: 6}",5e-05,0.004357909530359597
127,0.11345275232798954,0.002429210698212116,0.11654395289367883,0.0012000037183487956,log_loss,3,50,10,sqrt,,balanced,1e-05,0.0030912005656892894
128,0.1130054005909078,0.0019381874529338149,0.11314196657662065,0.0015041917677034169,gini,12,20,400,0.5,31,"{0: 1, 1: 6}",0.001,0.00013656598571284984
129,0.11294726185970627,0.0015738584259658807,0.11642935654845463,0.0015176531524573776,entropy,4,20,400,log2,63,"{0: 1, 1: 2}",5e-05,0.003482094688748355
130,0.11252300310164007,0.0028427463001133514,0.11555597199178444,0.001170794616090587,entropy,3,200,400,sqrt,,"{0: 1, 1: 6}",0.001,0.003032968890144372
131,0.11225878416855901,0.002693065611269534,0.1146656897075267,0.005514636743185407,entropy,,50,25,log2,,"{0: 1, 1: 6}",0.001,0.0024069055389676908
132,0.11195109691494225,0.0026546459189174996,0.11281779585818777,0.0031095975852012065,gini,12,500,50,0.75,127,"{0: 1, 1: 2}",0.001,0.0008666989432455224
133,0.11145002941162889,0.0008436616032801327,0.11401126354763587,0.0011725122959506285,gini,5,50,25,log2,15,,0.0001,0.002561234136006979
134,0.11143013822905194,0.0030140540133046594,0.11430899909966605,0.0033335940535243083,log_loss,8,100,400,log2,15,"{0: 1, 1: 2}",0.0005,0.0028788608706141056
135,0.11140671138341704,0.0026292639979947864,0.11135372668841517,0.0006455532947147177,gini,8,20,10,0.5,127,"{0: 1, 1: 2}",0.001,-5.298469500186753e-05
135,0.11140671138341704,0.0026292639979947864,0.11135372668841517,0.0006455532947147177,entropy,3,50,50,0.5,63,,0.001,-5.298469500186753e-05
135,0.11140671138341704,0.0026292639979947864,0.11135372668841517,0.0006455532947147177,gini,8,100,50,0.5,15,"{0: 1, 1: 2}",0.001,-5.298469500186753e-05
135,0.11140671138341704,0.0026292639979947864,0.11135372668841517,0.0006455532947147177,entropy,10,100,100,0.5,127,,0.001,-5.298469500186753e-05
