feature,importance
cat__diag_2_920,0.0
cat__diag_2_919,0.0
cat__diag_2_918,0.0
cat__diag_2_917,0.0
cat__diag_2_916,0.0
cat__diag_2_915,0.0
cat__diag_2_974,0.0
cat__diag_2_977,0.0
cat__diag_2_980,0.0
cat__diag_2_989,0.0
cat__diag_2_E885,0.0
cat__diag_2_E884,0.0
cat__diag_2_E882,0.0
cat__diag_2_E881,0.0
cat__diag_2_E880,0.0
cat__diag_2_E879,0.0
cat__diag_2_E878,0.0
cat__diag_2_E870,0.0
cat__diag_2_E868,0.0
cat__diag_2_E858,0.0
cat__diag_2_E854,0.0
cat__diag_2_E850,0.0
cat__diag_2_E849,0.0
cat__diag_2_E829,0.0
cat__diag_2_E826,0.0
cat__diag_2_E821,0.0
cat__diag_2_E819,0.0
cat__diag_2_E817,0.0
cat__diag_2_E816,0.0
cat__diag_2_E814,0.0
cat__diag_2_E812,0.0
cat__diag_2_999,0.0
cat__diag_2_998,0.0
cat__diag_2_997,0.0
cat__diag_2_995,0.0
cat__diag_2_992,0.0
cat__diag_2_991,0.0
cat__diag_2_913,0.0
cat__diag_2_910,0.0
cat__diag_3_223,0.0
cat__diag_2_824,0.0
cat__diag_2_850,0.0
cat__diag_2_847,0.0
cat__diag_2_845,0.0
cat__diag_2_844,0.0
cat__diag_2_843,0.0
cat__diag_2_842,0.0
cat__diag_2_840,0.0
cat__diag_2_837,0.0
cat__diag_2_836,0.0
cat__diag_2_832,0.0
cat__diag_2_831,0.0
cat__diag_2_826,0.0
cat__diag_2_825,0.0
cat__diag_2_823,0.0
cat__diag_2_909,0.0
cat__diag_2_822,0.0
cat__diag_2_821,0.0
cat__diag_2_820,0.0
cat__diag_2_816,0.0
cat__diag_2_815,0.0
cat__diag_2_814,0.0
cat__diag_2_813,0.0
cat__diag_2_812,0.0
cat__diag_2_811,0.0
cat__diag_2_810,0.0
cat__diag_2_808,0.0
cat__diag_2_807,0.0
cat__diag_2_805,0.0
cat__diag_2_851,0.0
cat__diag_2_852,0.0
cat__diag_2_853,0.0
cat__diag_2_860,0.0
cat__diag_2_908,0.0
cat__diag_2_907,0.0
cat__diag_2_906,0.0
cat__diag_2_905,0.0
cat__diag_2_9,0.0
cat__diag_2_893,0.0
cat__diag_2_892,0.0
cat__diag_2_891,0.0
cat__diag_2_883,0.0
cat__diag_2_882,0.0
cat__diag_2_881,0.0
cat__diag_2_880,0.0
cat__diag_2_88,0.0
cat__diag_2_879,0.0
cat__diag_2_873,0.0
cat__diag_2_872,0.0
cat__diag_2_871,0.0
cat__diag_2_870,0.0
cat__diag_2_869,0.0
cat__diag_2_868,0.0
cat__diag_2_867,0.0
cat__diag_2_866,0.0
cat__diag_2_865,0.0
cat__diag_2_864,0.0
cat__diag_2_863,0.0
cat__diag_2_862,0.0
cat__diag_2_861,0.0
cat__diag_2_E887,0.0
cat__diag_2_E888,0.0
cat__diag_2_E890,0.0
cat__diag_3_152,0.0
cat__diag_3_171,0.0
cat__diag_3_170,0.0
cat__diag_3_17,0.0
cat__diag_3_164,0.0
cat__diag_3_163,0.0
cat__diag_3_162,0.0
cat__diag_3_161,0.0
cat__diag_3_158,0.0
cat__diag_3_157,0.0
cat__diag_3_156,0.0
cat__diag_3_155,0.0
cat__diag_3_154,0.0
cat__diag_3_153,0.0
cat__medical_specialty_Pediatrics,0.0
cat__diag_2_E905,0.0
cat__diag_3_150,0.0
cat__diag_3_148,0.0
cat__diag_3_141,0.0
cat__diag_3_14,0.0
cat__diag_3_139,0.0
cat__diag_3_138,0.0
cat__diag_3_136,0.0
cat__diag_3_135,0.0
cat__diag_3_131,0.0
cat__diag_3_123,0.0
cat__diag_3_122,0.0
cat__diag_3_117,0.0
cat__diag_3_115,0.0
cat__diag_3_172,0.0
cat__diag_3_173,0.0
cat__diag_3_174,0.0
cat__diag_3_179,0.0
cat__diag_3_220,0.0
cat__diag_3_218,0.0
cat__diag_3_217,0.0
cat__diag_3_216,0.0
cat__diag_3_214,0.0
cat__diag_3_211,0.0
cat__diag_3_208,0.0
cat__diag_3_205,0.0
cat__diag_3_204,0.0
cat__diag_3_203,0.0
cat__diag_3_202,0.0
cat__diag_3_201,0.0
cat__diag_3_200,0.0
cat__diag_3_199,0.0
cat__diag_3_198,0.0
cat__diag_3_197,0.0
cat__diag_3_196,0.0
cat__diag_3_195,0.0
cat__diag_3_193,0.0
cat__diag_3_192,0.0
cat__diag_3_191,0.0
cat__diag_3_189,0.0
cat__diag_3_188,0.0
cat__diag_3_185,0.0
cat__diag_3_183,0.0
cat__diag_3_182,0.0
cat__diag_3_180,0.0
cat__diag_3_112,0.0
cat__diag_3_110,0.0
cat__diag_2_V86,0.0
cat__diag_2_V09,0.0
cat__diag_2_V03,0.0
cat__diag_2_V02,0.0
cat__diag_2_E980,0.0
cat__diag_2_E968,0.0
cat__diag_2_E965,0.0
cat__diag_2_E950,0.0
cat__diag_2_E947,0.0
cat__diag_2_E944,0.0
cat__diag_2_E942,0.0
cat__diag_2_E939,0.0
cat__diag_2_E937,0.0
cat__diag_2_E936,0.0
cat__diag_2_E935,0.0
cat__diag_2_E934,0.0
cat__diag_2_E933,0.0
cat__diag_2_E932,0.0
cat__diag_2_E931,0.0
cat__diag_2_E930,0.0
cat__diag_2_E929,0.0
cat__diag_2_E928,0.0
cat__diag_2_E927,0.0
cat__diag_2_E924,0.0
cat__diag_2_E919,0.0
cat__diag_2_E918,0.0
cat__diag_2_E917,0.0
cat__diag_2_E916,0.0
cat__diag_2_E906,0.0
cat__diag_2_V08,0.0
cat__medical_specialty_Radiologist,0.0
cat__diag_2_V85,0.0
cat__diag_2_V11,0.0
cat__diag_2_V72,0.0
cat__diag_2_V70,0.0
cat__diag_2_V66,0.0
cat__diag_2_V65,0.0
cat__diag_2_V64,0.0
cat__diag_2_V63,0.0
cat__diag_2_V62,0.0
cat__diag_2_V61,0.0
cat__diag_2_V60,0.0
cat__diag_2_V58,0.0
cat__diag_2_V57,0.0
cat__diag_2_V55,0.0
cat__diag_2_V54,0.0
cat__diag_2_V53,0.0
cat__diag_2_V49,0.0
cat__diag_2_V46,0.0
cat__diag_2_V45,0.0
cat__diag_2_V44,0.0
cat__diag_2_V25,0.0
cat__diag_2_V23,0.0
cat__diag_2_V18,0.0
cat__diag_2_V17,0.0
cat__diag_2_V16,0.0
cat__diag_2_V15,0.0
cat__diag_2_V14,0.0
cat__diag_2_V13,0.0
cat__diag_2_V12,0.0
cat__diag_3_442,0.0
cat__diag_3_528,0.0
cat__diag_3_444,0.0
cat__diag_3_989,0.0
cat__diag_3_E822,0.0
cat__diag_3_E819,0.0
cat__diag_3_E818,0.0
cat__diag_3_E817,0.0
cat__diag_3_E816,0.0
cat__diag_3_E815,0.0
cat__diag_3_E813,0.0
cat__diag_3_E812,0.0
cat__diag_3_999,0.0
cat__diag_3_998,0.0
cat__diag_3_997,0.0
cat__medical_specialty_Obsterics&Gynecology-GynecologicOnco,0.0
cat__diag_3_991,0.0
cat__diag_3_987,0.0
cat__diag_3_948,0.0
cat__diag_3_972,0.0
cat__diag_3_971,0.0
cat__diag_3_970,0.0
cat__diag_3_969,0.0
cat__diag_3_967,0.0
cat__diag_3_966,0.0
cat__diag_3_965,0.0
cat__diag_3_962,0.0
cat__diag_3_959,0.0
cat__diag_3_958,0.0
cat__diag_3_956,0.0
cat__diag_3_955,0.0
cat__diag_3_953,0.0
cat__diag_3_E825,0.0
cat__diag_3_E826,0.0
cat__diag_3_E849,0.0
cat__diag_3_E850,0.0
cat__diag_3_E919,0.0
cat__diag_3_E917,0.0
cat__diag_3_E916,0.0
cat__diag_3_E912,0.0
cat__diag_3_E906,0.0
cat__diag_3_E905,0.0
cat__diag_3_E901,0.0
cat__diag_3_E900,0.0
cat__diag_3_E894,0.0
cat__diag_3_E892,0.0
cat__diag_3_E887,0.0
cat__diag_3_E886,0.0
cat__diag_3_E885,0.0
cat__diag_3_E884,0.0
cat__diag_3_E883,0.0
cat__diag_3_E882,0.0
cat__diag_3_E881,0.0
cat__diag_3_E880,0.0
cat__diag_3_E879,0.0
cat__diag_3_E878,0.0
cat__diag_3_E870,0.0
cat__diag_3_E865,0.0
cat__diag_3_E858,0.0
cat__diag_3_E855,0.0
cat__diag_3_E854,0.0
cat__diag_3_E853,0.0
cat__diag_3_E852,0.0
cat__diag_3_952,0.0
cat__diag_3_945,0.0
cat__diag_3_E922,0.0
cat__diag_3_854,0.0
cat__diag_3_879,0.0
cat__diag_3_877,0.0
cat__diag_3_876,0.0
cat__diag_3_873,0.0
cat__diag_3_871,0.0
cat__diag_3_868,0.0
cat__diag_3_867,0.0
cat__diag_3_866,0.0
cat__diag_3_865,0.0
cat__diag_3_864,0.0
cat__diag_3_862,0.0
cat__diag_3_861,0.0
cat__diag_3_860,0.0
cat__diag_3_852,0.0
cat__diag_3_943,0.0
cat__diag_3_851,0.0
cat__diag_3_850,0.0
cat__diag_3_847,0.0
cat__diag_3_845,0.0
cat__diag_3_844,0.0
cat__diag_3_842,0.0
cat__diag_3_841,0.0
cat__diag_3_840,0.0
cat__diag_3_838,0.0
cat__diag_3_836,0.0
cat__diag_3_834,0.0
cat__diag_3_831,0.0
cat__diag_3_826,0.0
cat__diag_3_880,0.0
cat__diag_3_881,0.0
cat__diag_3_882,0.0
cat__diag_3_883,0.0
cat__diag_3_94,0.0
cat__diag_3_934,0.0
cat__diag_3_933,0.0
cat__diag_3_930,0.0
cat__diag_3_928,0.0
cat__diag_3_924,0.0
cat__diag_3_923,0.0
cat__diag_3_922,0.0
cat__diag_3_920,0.0
cat__diag_3_919,0.0
cat__diag_3_918,0.0
